[2024-06-28 21:42:19,582] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:19,607] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:19,635] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:19,661] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:19,688] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:19,713] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:19,742] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:19,769] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:19,796] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:19,823] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:19,848] INFO [Broker id=0] Leader location-update-topic-0 with topic id Some(c_bT5UfBR7K75zUjaWx8ig) starts at leader epoch 0 from offset 200004 with partition epoch 0, high watermark 200004, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:19,849] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:19,877] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:19,907] INFO [Broker id=0] Leader __consumer_offsets-35 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:19,939] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:20,042] INFO [Broker id=0] Leader __consumer_offsets-20 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:20,096] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:20,143] INFO [Broker id=0] Leader __consumer_offsets-42 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:20,174] INFO [Broker id=0] Leader __consumer_offsets-12 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:20,207] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:20,237] INFO [Broker id=0] Leader __consumer_offsets-36 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:20,269] INFO [Broker id=0] Leader __consumer_offsets-6 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:20,304] INFO [Broker id=0] Leader __consumer_offsets-43 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:20,305] INFO [Broker id=0] Leader __consumer_offsets-13 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:20,339] INFO [Broker id=0] Leader __consumer_offsets-28 with topic id Some(4kh9SBSTTEyjkZyZu8c5xQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-06-28 21:42:20,401] INFO [Broker id=0] Finished LeaderAndIsr request in 2041ms correlationId 1 from controller 0 for 53 partitions (state.change.logger)
